# wind_farm_viz 原提交 SHA → 迁入 Dachuang-SZLS 后的新 SHA
# 重写方式：git filter-repo 三步（1. 7 份项目 md 自 技能库&准则/ 归位到 skills-notes/；2. 剔除 技能库&准则/ 全部历史；3. 整树加 viz/ 前缀）
# 生成于 2026-09-19；原仓库 https://github.com/sunccchengze/wind_farm_viz ；来源 = main(617b179a) + arena/01a083c6(b3f5cc78) + arena/01a0a074(992f6665)
# 用法：旧文档里出现的 8 位短 SHA，在本表 old_sha 列查到对应 new_sha，再 git show <new_sha>
old_sha	new_sha	subject
119c93b45a48f56bba2e0c80b9009bf768d1386b	d99c6d374367160756ebba0c46190d55e503790d	docs: 消化20260808群聊与洪祖名代理模型交付，重写文档中心
5c7a8ea608b23f35a9f237e6ee939b7e364e751f	cc8f725738a31919499c5041717c3cd3caf09a22	Add files via upload
830699bd1949872781c8014a4fc893b2e9e0fbe9	43e522a724b1914f8623d16fe2b2cf63e0bf00b4	可视化重写为纯静态站点(Cloudflare Pages) + 文档重构为孙承泽个人视角
3af47a747c7c7a0ea156307532d993e83b2260f2	18d9d076176db23da8765512baa934901fdd4d25	消化假期前PPT + 本科生答辩材料；可视化站点对齐PPT统一接口；文档重构为孙承泽个人视角
6f59830f78bf218a487b4781a20ad04ccc4c290d	0bc365ab331eafec053df4fdc8ac5d316a9881dc	可视化重写为11页多页面静态站，还原原版全部可视化(3D曲面/体渲染/热力矩阵/POD/总览/Dashboard)
9df0e7ca70f66112c26b0d5b0509650f0d7bb466	44671ab02d2ee97160e330329367ac7e54c369aa	新增3个额外页(风玫瑰/模型精度/接口)并接入全站导航；修复index为着陆页
fe1dc48050b804a3dc777a35bf47d2d9ab33e7b3	c27a6e87e4f46cfe6cdd90dfc72a860c8cd7ca37	docs: 添加 HANDOFF 交接文档（供下一 agent 接手）
35f76a837f1e4813cfcb0f354db3e92cb92fc15d	4bd39c4d5c3b081e962b33aea8b89805502c245a	1
b67b7fc26fb47bb8ebc3c7d23c47619458315689	8361dacde977e72f09e76c457fc957c4608a181f	Muted 500/600级配色+CSS语法修复: 全部400级亮色→500/600级柔色, 消除Etransition/bAorder等错误, 恢复8个被覆盖页面
756c11d845777f12823c3b9dcd26464b2998cd98	1a41f914c0626a3447566ff7388a1aa437ad8721	feat: sync full skill library from turbine-blade-ai-platform arena/019fe072 branch
c2602f44f1596a339282ad1e9c0ac74c1c0c8776	b98bb7e71752aaf98bdc13add74f0008279af4c2	feat: rebuild ace presentation deck with zero AI slop and true FLORIS cfd flow field
4f2ff2ca9ba3764079a6363c24ee507b4a4eba56	5a98f7df7a9aaafbba285450d060bbd19dc09b24	feat: install GPTImage2Skill library with 31 categories and 7 iron rules for prompt engineering
26f6bc92696b1d36ed10774adec99cca5452ba81	bdf6e76f8e069ff517899913623b54c7fbd6a118	feat: integrate MotionSites and Refero DESIGN.md design system for high-end web interactions
4c5068b080119b4dccf4cee77b53ef8dfb1f8b63	e96cbc1eef0073a01d91d430c8582f8a5951b49b	feat: establish multi-agent architecture with adversarial review and artifact contract
43e7b34864528713bc0f04ff1fee5145eef20873	911a6def28e658d711913d9c260b22f631c745f8	feat: integrate Alibaba Open Code Review (ocr v1.8.10) with custom project rules
3c689b41f7b82522d2d9b190fdcaaad44c97f661	8ae14af94d8ea7068ef84b5a9095ab5d431b3665	feat: digest Bojie Li's AI Agent book (20k stars) into skill library and master roster
77c7354d31e69b0c4382d6b442a1adf0a20ae0df	a29cc5e9ba60121378df751ee70a2a592889b244	feat: install Codex 10-stage scientific research workflow (Nature Skills suite)
e8dbe4d7f524bc5ca9311a4abc797adb2d2c1d61	b2fbf72854a818dc43cd82c8c141336b5aa9ecb8	feat: integrate UI UX Pro Max (109k stars) design intelligence guide and pre-delivery checklist
06dd3e1e919e5975682ffc2d4e6ea9273ec0c09a	fa084d9a87e805adf64d4db78e54f9d74cf74402	feat: archive DigitalPlat FreeDomain documentation and Cloudflare Pages custom domain integration guide
311613097329dc72844e96199e53079f591fc483	ca4d9a3fde75d71b04ff92f82a11db207917516a	feat: install Agent Reach (69k stars) multi-platform internet connector for Bilibili, XHS, WeChat, etc.
728a4427e2c26d5e1c6e6067f9380d07b9142479	018268105c8d6f86a49479124dc57f4b8eb72163	docs: comprehensive update of HANDOFF.md, 14_DAYS_MASTER_PLAN.md, and master skill routing table
956e6e1f2392c53c0357c4f41c7385cc2c8ae97e	01735c8647fc7b79f5aa1a1b767b0fe7b7ebc6f5	refactor: restructure 14-day master plan into 4 concentrated campaign modules
d863c8bf31b01f69d92568aa56c3d0429d47152f	65a688702e9f9072c90753f6c52144f3c508a0bc	fix(site): restore site/ to exact commit 70c398e (Morandi aesthetic with spinning video background, 3D farm and Songti SC) while keeping all new non-site skills and assets
2fc1c09b386700a7c46f8079f038085d8bc2a0ad	6785cae25c646519daed77043b80f4f2a1bfec7b	feat(assets): ensure PSD, PPO package and all non-site assets are 100% tracked in git
d6e56c5d6ee84e4718df85b3481cae7500869e68	3ceb926f32efbe507929f74fc7eda24e7bc6643d	feat: establish 6-tier memory system (.learnings/) for seamless cross-session agent handover
41e68c5a83079fc4e87b74e78449dbc425aa31e2	b1bd58473c0aaf09a6ad2d6837decaa7bc2bde65	feat(memory): rebuild canonical 6-tier memory system using upstream pskoett/self-improving-agent and Martian-Engineering/agent-memory repos
7a1eea6153628286728a968524cd7f92a75a7643	fded4be9af1161063504ad0df85734e4f8d5ce94	docs: finalize comprehensive HANDOFF.md with exact session prompt, ground truth physics, and error guardrails
4f3e6aa6251466a4c1acc76c6177cc64ced967e4	89555982d68e471760655c9dcdf7a509ecb541a4	docs: complete final repository audit and finalize HANDOFF.md for next session
a3f9a0715a0f2a25ae3d3ae5589d45de1b89fefa	ad441b61cac32367c807b722392d8860c882f633	fix(handoff): enforce mandatory declaration header and correct campaign statuses to prevent hallucinated completion claims
a259d57a5cd19825a25aa51ce42c189ff51f5247	bf3f54ce67e6bcd6a134764f2364ce0122e5fa6a	docs: streamline handoff instructions, remove confusing jargon, and clarify Morandi-based progressive enhancement
8893556bf4e3a1307f62ce0ae3dd4dfc2467c628	b37ba4c54cc1a1a2c34576785e9103820de91334	docs(learnings): 记录用户决策偏好(选择题收口)与永不merge到main铁律
9cd6839971ce5d75bb82ca45da114f8833613b96	db5b84183f3441e6c411b424a9ae30b7c0213f4a	fix(site): 全站数字诚信审计A~H落地——POD口径76.4/21.6/98.0、T2转子平均5.10/6.38、风玫瑰页真实数据重做、求解器表实测化、PPO/XGBoost加来源注记
44dacabd8c43b4630e56bc10f82ed58cf245aea4	a17eacfe00e393dbb64667d86870a4ab5bf95c6c	docs: 根README双形态重写(静态站现役/Streamlit留档)、requirements按实证环境锁定、site部署分支口径更新
b6a17de8fec99a48071aa8c4e918373fdcca6e19	10029a08370ecb9bc736c79c91fc2e4109ac480a	feat(windrose): 3×3阵列全风向扫描(7536次求解)+双布局切换页——八扇区结构、等权ΔAEP+8.86%、双通道贪心修正+契约校验扩展
54a6631cafff2190a6de3138babb0391e8e901d5	7d314576341680d335d6bdb53123c141132d3c9e	fix(site): array页占位骨架化+清除隐藏硬编码伪值(九机图/对比柱图/desc/bage)——统一策略对齐Row1-only锚点口径,json增turbine_powers_unified,Streamlit留档文案与死代码修正
103954403a0ac00ebc54d437cf880064c785309c	f1c2c4d95ed669381ca224b4c0d0d3ccbf3a3099	chore(ppo): 复现工程中途断点存档——env对齐4维契约、v2训练管线就绪待跑、v1未收敛权重降级DONOTSHIP存档、契约名恢复0B占位+断点文档入库
edb5711ab224bff11be91f2bb3bcf76f432b0ec6	783ea7c62ae6ce9f70f466b14d9bc1cd8f7a5105	docs(learnings): 冻结复核落印——工作区/远端/进程三方零漂移确认
c45553b5f0a0fb447497954fbd095fef079eae55	73d93ba70963082a162a062e1b0b01d732ec217b	feat(ppo): 闭环PPO强化学习功率跟踪实证复现(200集实跑MAE=0.523%, 均时0.944s)
f07f1708803b6879456234915425641ce1802d40	2bd7b77ad42256e7806c416401e0f55fea8b335e	feat(array): 增设前两排接力偏航第4策略卡片(9935kW/+22.72%)丰富阶梯比照
2e61a4f8d2a97c32899206ed804f8820aba33bc4	6dc33bb7fb7af86812f4278a11bde3ef3ac9b59a	test(site): 16个静态子网页全量自动化端到端质检通过与规范验收
3fabe915dcb36e65dc82a6cf542c0842ce8d3725	7c7fe7c1a6a7748ab51e4956f3b1da87f6268d31	docs(learnings): 重心全面转入8月23日组会可视化汇报与通识冲刺打底
7e119aa144651f3c6d10eeded074e1a9d20e54c0	49f5fabfd40bd6b8f09a566b420b7a621d811d4e	docs: 创建8.23组会暑期进展汇报大白话通识与现场口播手册
fa62f3389411ed3521472abe9b122636ee4c9dfe	830a2765593c4cbc0028c8dc6d26b425b09226a9	docs: 建立8.23组会暑期可视化进展12页PPT大纲与一字一句讲稿
b92d249e96b0102ce95280d7855de35c9c384bb0	f261d0839931d2d548a37c40b035dd326821e266	feat(site): 构建8.23组会瑞士网格12页静态Web演示Deck(slides_823.html)
f7c6ccea7b856f6ee291d5e2f07f3b413b1b0918	38be851837610975e3e77e7c4181e67ba8c22d6c	feat(ppt): 生成8.23组会瑞士网格16:9宽屏PowerPoint文件(8.23组会汇报_可视化暑期进展_孙承泽.pptx)
eb83ee22b5fddacccddf3dcfae17a8c5634e3eb0	2a8aa71240a64b65855eea8a194ed6c02f038578	docs(audit): 开启8.23组会物理原理与可视化底气苏格拉底式质询对练
da1639e098977176a16667c3c998ab17eb2dbbe6	1d2af7678e8a8a5fa04b7666394f4ec5bcf9aa6f	docs(audit): 归纳8.23组会4大核心问答与口袋金句避坑手卡
43d5fb8f938821115add3d8a5a27a3de31d74832	432d54122806a3b85f8067328c51e62ddeaf402e	feat(ppt): 将PS顶刊制图与PPT网格体系全量确权纳入8.23暑期成果总结文稿
368e20f73179f79a1606f92c28dc7cbc0ad5a262	ab50e82da9bc4c1500a5655e60c45037f4e48809	feat(site): 派遣专家团深入叶片平台偷师学艺并落地气动势流避障网格交互引擎(aerodynamic_demo.html)
cb737b94275ff77488197ea68da58786c4dd328e	16a98b3e2a42ea0a7eb28a6fda93302a6a906213	docs(audit): 制定8.23组会OneMoreThing彩蛋展示四幕动线与操作指引台本
f68dfa9ef75a4e5d9ec281636d6373186dcf05a9	f8216272748dfb4c8ada8a25999d4046ae926514	docs(audit): 建立跨系统Agent思维碰撞15大硬核命题与我方预构解答大纲
13400510f8cbad5527bff87831b64bcb44229af4	f8cce7f4e8e32499df6e402c619abb5be26d53a7	docs(audit): 建立能动两机与风电同门红蓝Agent深度思维碰撞与宏微观融合总报告
5d507c31bff783e7b5e14a384fddd21ada4fea62	bcbabae4bef5c7628f3cc69582bb15aac489d1e9	feat(site): 确立组会汇报纯正风电专一性并重绘主页(site/index.html)为去Emoji瑞士网格布局
cbf488d0045aef47ac5060af957087f94ba69e3d	eac9663c76a16b1d3d1810c24db3bd33435d6fdf	feat(site): 依Vercel-Inspired设计规范与瑞士网格彻底从零重塑主页(site/index.html)
37ec975666c2db282cfe3919cacfda73b8da9f3b	5b98e7252afa7af2955c12753cba26990e3c81f5	feat(site): 彻底照抄turbine-blade-ai-platform主页重建site/index.html(钛黑调色盘/阻尼光斑背景/精密终端)
8eaded60e84395d4ad1104ca8df979c532d9b22b	70323a8465a0474aaa8798b135a2531aab982e64	feat(site): 将主页(site/index.html)彻底重造为莫兰迪工科浅色模式并适配阻尼光斑引擎
179ef0f81122502d27666d46b67f079b2e5e3caa	d4c6f3fa0e75699917bfa421ed29d9e0ddafbd59	fix(site): 彻底剔除index.html中bg-video.js全屏视频残留并定制中文宋体黑/等线字样
f991c649e6158fb80914e16282faf670417bb4ba	f9a33a5767d802d829b4436b4b45ec4d3e4be994	fix(site): 响应7项截图反查重造指标带消除重叠与卡片感/更正数字孪生视频口径/定制TasteSkill微动效
813e6b2a8478700e46d7ba3f853138d1298a8fff	2aa783c130ddba09bf9da1caef5c10f4ed8964a8	fix(site): 将DengXian注入等宽字体栈彻底消除宋体回滚并将段落严密限制为最多两行
c77235b1a32559a7db2e122ce57024a734689b12	75a89d7cee95bdbf41d8d1179f05ae8fb839f522	docs(audit): 蒸馏世界级前端智囊团提出主页审阅报告并落地5项升维处方
fe8167b7267cdc163a531edbf5fbd73607416b77	b0b7faf874f8241efe91b6678d1bb5b8b791cf0b	fix(site): 解决主页页脚(footer)不居中痛点实现全量行文垂直对中居中布局
8a0e63a5e265068b5ab8828fa7b243d63c28ed7d	88311f0b27845a11982a66fb112c599d75c7b142	fix(site): 删除主页顶栏冗余文字并强制约束单行不折行
4562d13e0a930a24e61d565654e19881bff9fa1c	a1c88d3a0f26fabf45d2a4dee5815d01b8f88810	feat(site): 依瑞士网格与浅色等线宋体分流彻底重构第二站尾流分析页(site/wake.html)
c2c351322bb1deeac45f0b41c36c9b8948f17a7f	d69c981212b1279fbd30fccbf8d3ae03bae3eb02	fix(site): 订正尾流页说明牌色值并消除多余分割线实现100%笔直左对齐
d532974e9a9c5f4efd9a87d5e2274deb9eeecad2	d3e7fa7102f74de8db643f65a8ef6e47a84cd000	fix(site): 彻底解决尾流分析页图例与X轴标题重叠痛点(上挪图例至顶部)
766a35af78f95ca2ec340ec3da66116b4356e968	ca3d8004ba61485a2188524df5b45dd28f8a40d6	fix(site): 彻底解决尾流分析页红框折行问题并实现全界面100%垂直齐平左对齐
04b2a5328a7955fda06aedeb00804580b05b55ce	8ef1d0f2cbee5e5aff04b1f93618ab46eef748c3	feat(site): 依发丝强线瑞士网格与对准规则彻底改造优化对齐页与实时求解页(site/optimization.html, solver.html)
cf554c9a5429cec1206e9f496d2f2bfd6edeaa91	9c236de421406bdec1a5284eab425143d2a78302	fix(site): 根据5大视觉及信噪比诊断精制尾流分析页(合并控制台/去色彩泛滥/下标校对)
9c2a18a214c3cf1fd9acbffa009efe185195a9f5	41e3c3d54790eb40edb293a588004c3de6e9c99c	chore(skills): 装载 019ff854 通用技能底座并内化到本项目路由
1fc7b8d024ce336492a8e6c99a5b478572212a2c	2074c55d299fcdfbdce5a0fdb937fa20004bf06e	feat(site): 依浅色瑞士网格体系重塑系统总览页(site/overview.html)为模块目录枢纽
12e283abd2ad1ffc254fca6aea1ac2711ce25eeb	b2119d6398469951ef99231aad27f9fe1981fb68	feat(site): 依浅色瑞士网格体系重塑闭环总控看板(site/dashboard.html)为一体化工作台
61d2e4de2f18535d298da16ee0a35a9be5146378	016670fd879336d8960ead23b80b47e1154be39c	feat(site): 依浅色瑞士网格体系重塑模型精度验证页(site/model.html)为证据链台账
b39b53a83d0827f76436c0b649684e6289c260d2	3a3c27f4425fd8e5f5fcdec610981f82cd586a58	feat(site): 依浅色瑞士网格体系重塑POD降阶分析页(site/pod.html)为能量谱工作台
a4a7523d71dca3269180ede50793f784ba7bc13e	9616543b423a8af746a80df68b8a411561133448	feat(site): 依浅色瑞士网格体系重塑3×3阵列协同优化页(site/array.html)为四策略对比工作台
a3af2525bb020a70625e7bc99e8d83a5c499dbd5	7136cb99f2c8b89dc3ebc83b8dc127c8ff63b329	feat(site): 依浅色瑞士网格体系重塑热力矩阵页(site/heatmap.html)为三级增益视图
dc807e2d4889b90139af716b995bb861202ed9f2	ba23395960a2ebfe9a814a3e31bee7257f271034	feat(site): 依浅色瑞士网格体系重塑风玫瑰与AEP页(site/windrose.html)为方向扫描台账
52a502e7b2def7eb6df8b9120e41f11b85f463b9	996f35c13c9eaaea22b229997a636e34f6c7218a	feat(site): 依浅色瑞士网格体系重塑AGC功率跟踪页(site/power_tracking.html)为逆向求解工作台
b80eab4e52d99c4b9d80fd4e3d6e198d4b7545d5	dede5e1c024e96f6a78ffc2ad5baef16ac6d177e	feat(site): 依浅色瑞士网格体系重塑数据接口契约页(site/interface.html)为协作规范台账
67009d9191845280d6bf949405f14d828efd9786	79aef648596f910ff4bed2808fa633f5f43c8561	feat(site): 依浅色瑞士网格体系重塑3D风电场页(site/3d_farm.html)场景外壳与控件
bb0bb2ced30ea184b4d17c7ce60459bf7b4fcfb6	df9d89dff5c0d1de3d2d00cfa29ff23a621c20ee	feat(site): 依浅色瑞士网格体系重塑3D尾流曲面页(site/3d_surface.html)为探针工作台
00c2a461719dd385a928a2e31ff00350abdd7dbd	f79a75f3fe3d7b9c00bf9da6a6b67accb2019d0c	feat(site): 依浅色瑞士网格体系重塑3D体渲染页(site/3d_volume.html)为低速泡观测台
6e349ffced58e7188c04fdf08e8157efe463780c	a8108a616104651f034adf3a56256808f8f564c6	feat(site): 将气动流线演示页(site/aerodynamic_demo.html)转入浅色瑞士网格体系
2df319d80b2bdf9e93c0ae6e91956e3c92f1347c	9cf2ab912a0a2930617393ed20d04b358091db4b	feat(site): 重塑8.23组会Deck(site/slides_823.html)对齐浅色瑞士网格字体令牌并清除残留口径
b63bf53cb6f0bf46322e1b58ed17ca2b4a534ce5	6b6823371c68281e9cf1302335bc1d68c03dec9e	fix(site): 剔除主页(site/index.html)遗留nav.js与data-source.js注入避免表情横幅与过期口径
3d1449a1e61b6b91c2b7f6c55cfc78330c3cdbfe	b4ec3cdde9afe49985945324bda22ad0387f392a	fix(site): 修复全站页眉左右内边距被覆盖导致的32px左移错位(.v-pg-hero仅设上下padding)
63c45bac52f9d973d03194d9224c867c035a8963	bb044b969f75b6023d561e94923db9da4907c829	feat(site): 全站16页导航统一为双行模块条(固定顺序编号+当前页高亮+CURRENT指示)消除导航指示冲突
6a82efa436c47a2058065d91e73334c1a761be18	eadf6eb92bf5d0b4188efbed90cc76ae5138e3d2	fix(site): 导航模块条横向滚动收进1240内容列内部,宽屏下与正文同左缘对齐(min-width覆盖max-width根因)
3715c7c83f658168625d6a9284ce5f94e59cea35	4a635e728b49100f4bbbf156837eb2c9fd0ffae1	fix(site): 修复optimization页左侧380px空白未渲染 — 漏引assets/data_3d.js导致WIND_3D_DATA未定义，2D水平尾流热力云图分支被跳过，补齐数据源链路
9f8e7e63a902dac0cbd2bb5ff449f72d358e8799	8e78bafde2b3000bbe4c2c62dafcd304d66cac2d	feat(site/index): 将NREL 5MW ARRAY遥测终端转为毛玻璃透光材质(rgba 0.66 + backdrop-blur 22px saturate 180%, 内层高光径向渐变+上沿光栅, 指标格悬浮提亮)
f55559a54b3652b3fe32c4359a590b6a7f8d2815	6b192ad23115e965cde03f642773e17e19f37ac3	fix(site/index): 重做NREL遥测卡为真透光毛玻璃 — 背景三重径向流体光斑+Canvas网格加浓至0.11/光斑半径380/亮度0.18, 卡体rgba 0.38 blur28px saturate180% 双高光inset, header/metric/pipeline分层透光0.32/0.34/0.30
3d9f67608226d45ef3288a58fe0cf595aba79648	758589acafc157a4a0d814fa435696ac44a4dfd0	fix(site/index): 背景完全复原至原版var(--v-bg)+Canvas 0.055/130/2.2/0.45/280/0.08, 卡片纯毛玻璃化rgba(255,255,255,0.48) blur(16px) border 0.66 radius12 仅透明模糊不改背景
2900853f28d69eff3b699818e0801e20bb8a39cf	d4613e96e3c28e0342f560a571d903f2d9636676	fix(site/optimization): 补齐左右边距难看问题 — cause-bar 16px 32px + 边框圆角, ledger-strip加边框圆角取消首列0 padding, v-control-card 28px 32px+边框圆角, 移动端20px, 强制t-container 32px对齐1240栅格
a7c98bec30dddcceb7996576c1289e57a8bf4dae	940aef70a9911b1846b11d8a33527c27fd689cf2	fix(site/solver): 同步修复03求解页左右贴边 — cause-bar 16px 32px+边框圆角, ledger-strip边框圆角取消首列0 padding, v-control-card 28px 32px+边框圆角, 响应式20px, 与02优化页同标准自查
577a01f294fa34d7cc0f6e33fa2e4a86a056661b	aeaf87f9d024c07b84caa95ec74842ef8572336c	fix(site): 修复SPEC B等代码块横向溢出 — .grid-plots加min-width:0与子代min-width:0防Grid撑破, .v-plots-container overflow:hidden, pre.code-block改pre-wrap+break-word+anywhere+border-box, 全站9页同步
d31f655cddb7613f2539e5f16927d27254550052	68056fac0161a31a95001b2372d6f079c320e801	fix(data): 修复+10°流场异常条带 — fields/全部高斯平滑sigma0.8+边界8m/s, case_0009(+10°)用5°与15°平均替代消除544-562m处2m/s跳变(4.394->6.460), 重建data_3d.js 13工况
0393a55af30fa6926ead8252c6ea14f8cba8ab3a	4baaf505ca525881e78df74c530f2b6d1a79e411	fix(site/dashboard): 修复FIG.B半圆仪表白屏 — 非法type:'path'改为scatter弧线点集bgArc/valArc(180->0/180->angV,80点), arcPoints helper, line width16 spline保留
baffc31c313057d7578887f5d2f681214b078a8b	abb9a608bc2d1aea5d1ab847dc0b3a0e9aa84d40	fix(site/dashboard): 修复半圆仪表位置不对 — 改上半圆仪表圆心底部cy=30 r=100, y范围0-150, 背景180->0, 数值180->angV, 文本cy+35/65内嵌, 线宽14, 截断问题根因yRange 40-170只露两侧
66427801995611964e229323ec6ac4618b37c89e	6a3cc1ece7742b5031cd405bc9879718352f2aaa	feat(figures): Nature级科研绘图工厂批量出图17张 — 挖掘-SKILL-库scipilot-figure-skill+nature-figure, 数据盘点cases/multi/array/POD/windrose, 生成fig1-9主工厂+fig10-17扩展疯狂画图, 单栏3.5in双栏7.2in矢量PDF+PNG+灰度预览, 色盲安全Okabe-Ito viridis/RdBu_r
087428299af0ee6c1a2dbcdffcf99d7d94e11edf	f02dd386067b713017ccaea57929c0fbb6d407cb	refactor(site/dashboard): 移除鸡肋半圆仪表FIG B — 信息冗余(P1/P2/总功率曲线已含增益), 改FIG A全宽360px, 备注引导至Nature静态图Fig3阵列增益与Fig15瀑布, 修复条带数据源已平滑
c515a76f8315b514b5811a83180dad4ee9a6bfc3	a3fc14286f55a009fd6a4f2e4ab65d875214cc63	feat(site/pod): 嵌入Nature出版级POD图 — fig5_pod(前2阶97.97%偶极子+自恢复)、fig14_pod_coeff系数随偏航、fig10箱线+strip多风速增益，单栏3.5in矢量PDF下载
10bc9f7113453e3b22d5a1c077ac11311609fa4f	4a2cec7c27edf3b144f664e86b876d27bf2a095f	feat(site/array): 嵌入Nature阵列王牌图 — fig6_array_flow baseline vs independent走廊清除、fig3总功率柱、fig15瀑布9机增益、fig16扫掠，7.2in矢量PDF
e2d7658b491c373b62b54aa08c84335f8a6763a6	b061cecd8f4f721976f75d83fe922bf2f49be704	feat(site/windrose): 嵌入Nature风玫瑰极坐标图 fig7_windrose — 90°串列最大增益，0°横风0%，单栏3.5in PDF矢量
880821437468b07494f8594451faf02d9295f030	7320b94746684339ebb17654874d48840d797b2e	feat(site/power_tracking): 嵌入Nature PPO跟踪图 fig9_tracking + fig17_ppo_mae — MAE 0.523% + 5种子稳定性，目标域[0.78,0.98]
a76e5b7a06dc299e91d43af62956602f23f6db78	41c669bba7abe9a1e5e0e8d23b4d32f5b3ff6b1b	feat(site/overview): 嵌入Nature主图 fig8_main — 4面板综合 Tandem/Array/POD/Wake，Figure 1候选，7.2in矢量
6f49d73dd4c1b7e599cbe9b841dc399b66480a87	a68b336e815506d1ab3bace9749b68a7b5fcadb7	feat(site/heatmap): 嵌入Nature多风速增益热力 fig2_multi_wind + 3D曲面 fig13_3d_gain — viridis感知均匀，单双栏矢量PDF
7acd2cf1ecd1c223e6690831c92ac7a6a962471f	9795d6333389218f8f95c95857a980d2c1382dd7	feat(site/model): 嵌入Nature相关性热力 fig11_corr — P1/P2强负相关让利本质，RdBu_r发散，矢量PDF
a13a9d49d7d612adde6b54dafc2e9ce952686cfe	93bce82686265ff9f3403888bed06672ae2f93d3	feat(site/wake): 嵌入Nature串列出版图 fig1_tandem_yaw + fig4_wake_contour — P1/P2权衡+0°vs25°流场，7.2in矢量PDF
